route_id,service_id,trip_id
L3781,555,L37815551
L3782,556,L37825561
L3783,557,L37835571
L3784,558,L37845581
L3785,559,L37855591
L3786,560,L37865601
L3787,561,L37875611
L3788,562,L37885621
L3789,563,L37895631
L3790,564,L37905641
L3791,565,L37915651
L3792,566,L37925661
L3793,567,L37935671
L4257,568,L42575681
L4259,569,L42595691
L4261,570,L42615701
L4263,571,L42635711
L4265,572,L42655721
L4267,573,L42675731
L4269,574,L42695741
L4271,575,L42715751
L4358,576,L43585761
L4360,577,L43605771
L4362,578,L43625781
L4364,579,L43645791
L4366,580,L43665801
L4368,581,L43685811
L4370,582,L43705821
L4372,583,L43725831
L4376,584,L43765841
L4378,585,L43785851
L4380,586,L43805861
L4382,587,L43825871
L4384,588,L43845881
L4386,589,L43865891
L4388,590,L43885901
L4390,591,L43905911
L4457,592,L44575921
L4459,593,L44595931
L4461,594,L44615941
L4463,595,L44635951
L4465,596,L44655961
L4467,597,L44675971
L4469,598,L44695981
L4471,599,L44715991
L4479,600,L44796001
L4481,601,L44816011
L4483,602,L44836021
L4485,603,L44856031
L4487,604,L44876041
L4489,605,L44896051
L4491,606,L44916061
L4493,607,L44936071
L4571,608,L45716081
L4657,609,L46576091
L4658,610,L46586101
L4659,611,L46596111
L4660,612,L46606121
L4661,613,L46616131
L4662,614,L46626141
L4663,615,L46636151
L4664,616,L46646161
L4665,617,L46656171
L4666,618,L46666181
L4667,619,L46676191
L4668,620,L46686201
L4669,621,L46696211
L4670,622,L46706221
L4671,623,L46716231
L4677,624,L46776241
L4678,625,L46786251
L4679,626,L46796261
L4680,627,L46806271
L4681,628,L46816281
L4682,629,L46826291
L4683,630,L46836301
L4684,631,L46846311
L4685,632,L46856321
L4686,633,L46866331
L4687,634,L46876341
L4688,635,L46886351
L4689,636,L46896361
L4690,637,L46906371
L4691,638,L46916381
L4712,639,L47126391
L4713,640,L47136401
L4714,641,L47146411
L4715,642,L47156421
L4716,643,L47166431
L4717,644,L47176441
L4718,645,L47186451
L4719,646,L47196461
L4720,647,L47206471
L4721,648,L47216481
L4722,649,L47226491
L4723,650,L47236501
L4737,651,L47376511
L4738,652,L47386521
L4739,653,L47396531
L4740,654,L47406541
L4741,655,L47416551
L4742,656,L47426561
L4743,657,L47436571
L4744,658,L47446581
L4745,659,L47456591
L4746,660,L47466601
L4747,661,L47476611
L4748,662,L47486621
L4856,663,L48566631
L4858,664,L48586641
L4860,665,L48606651
L4862,666,L48626661
L4864,667,L48646671
L4866,668,L48666681
L4868,669,L48686691
L4870,670,L48706701
L4872,671,L48726711
L4877,672,L48776721
L4879,673,L48796731
L4881,674,L48816741
L4883,675,L48836751
L4885,676,L48856761
L4887,677,L48876771
L4889,678,L48896781
L4891,679,L48916791
L4893,680,L48936801
L4956,681,L49566811
L4958,682,L49586821
L4960,683,L49606831
L4962,684,L49626841
L4964,685,L49646851
L4966,686,L49666861
L4968,687,L49686871
L5006,688,L50066881
L5007,689,L50076891
L5008,690,L50086901
L5009,691,L50096911
L5010,692,L50106921
L5011,693,L50116931
L5012,694,L50126941
L5013,695,L50136951
L5015,696,L50156961
L5016,697,L50166971
L5017,698,L50176981
L5018,699,L50186991
L5019,700,L50197001
L5020,701,L50207011
L5021,702,L50217021
L5055,703,L50557031
L5056,704,L50567041
L5057,705,L50577051
L5058,706,L50587061
L5059,707,L50597071
L5060,708,L50607081
L5061,709,L50617091
L5062,710,L50627101
L5063,711,L50637111
L5064,712,L50647121
L5065,713,L50657131
L5066,714,L50667141
L5067,715,L50677151
L5068,716,L50687161
L5069,717,L50697171
L5070,718,L50707181
L5071,719,L50717191
L5072,720,L50727201
L5073,721,L50737211
L5081,722,L50817221
L5082,723,L50827231
L5083,724,L50837241
L5084,725,L50847251
L5085,726,L50857261
L5086,727,L50867271
L5087,728,L50877281
L5088,729,L50887291
L5089,730,L50897301
L5090,731,L50907311
L5091,732,L50917321
L5092,733,L50927331
L5093,734,L50937341
L5094,735,L50947351
L5095,736,L50957361
L5096,737,L50967371
L5097,738,L50977381
L5098,739,L50987391
L5157,740,L51577401
L5158,741,L51587411
L5159,742,L51597421
L5160,743,L51607431
L5161,744,L51617441
L5162,745,L51627451
L5163,746,L51637461
L5164,747,L51647471
L5165,748,L51657481
L5166,749,L51667491
L5167,750,L51677501
L5168,751,L51687511
L5169,752,L51697521
L5170,753,L51707531
L5171,754,L51717541
L5178,755,L51787551
L5179,756,L51797561
L5180,757,L51807571
L5181,758,L51817581
L5182,759,L51827591
L5183,760,L51837601
L5184,761,L51847611
L5185,762,L51857621
L5186,763,L51867631
L5187,764,L51877641
L5188,765,L51887651
L5189,766,L51897661
L5190,767,L51907671
L5191,768,L51917681
L5192,769,L51927691
L5256,770,L52567701
L5257,771,L52577711
L5258,772,L52587721
L5259,773,L52597731
L5260,774,L52607741
L5261,775,L52617751
L5262,776,L52627761
L5263,777,L52637771
L5264,778,L52647781
L5265,779,L52657791
L5266,780,L52667801
L5267,781,L52677811
L5268,782,L52687821
L5269,783,L52697831
L5270,784,L52707841
L5271,785,L52717851
L5272,786,L52727861
L5275,787,L52757871
L5276,788,L52767881
L5277,789,L52777891
L5278,790,L52787901
L5279,791,L52797911
L5280,792,L52807921
L5281,793,L52817931
L5282,794,L52827941
L5283,795,L52837951
L5284,796,L52847961
L5285,797,L52857971
L5286,798,L52867981
L5287,799,L52877991
L5288,800,L52888001
L5289,801,L52898011
L5290,802,L52908021
L5291,803,L52918031
L5557,804,L55578041
L5559,805,L55598051
L5561,806,L55618061
L5563,807,L55638071
L5565,808,L55658081
L5567,809,L55678091
L5569,810,L55698101
L5571,811,L55718111
L5579,812,L55798121
L5581,813,L55818131
L5583,814,L55838141
L5585,815,L55858151
L5587,816,L55878161
L5589,817,L55898171
L5591,818,L55918181
L5593,819,L55938191
L5656,820,L56568201
L5657,821,L56578211
L5658,822,L56588221
L5659,823,L56598231
L5660,824,L56608241
L5661,825,L56618251
L5662,826,L56628261
L5663,827,L56638271
L5664,828,L56648281
L5665,829,L56658291
L5666,830,L56668301
L5667,831,L56678311
L5668,832,L56688321
L5669,833,L56698331
L5670,834,L56708341
L5671,835,L56718351
L5672,836,L56728361
L5673,837,L56738371
L5676,838,L56768381
L5677,839,L56778391
L5678,840,L56788401
L5679,841,L56798411
L5680,842,L56808421
L5681,843,L56818431
L5682,844,L56828441
L5683,845,L56838451
L5684,846,L56848461
L5685,847,L56858471
L5686,848,L56868481
L5687,849,L56878491
L5688,850,L56888501
L5689,851,L56898511
L5690,852,L56908521
L5691,853,L56918531
L5692,854,L56928541
L5857,855,L58578551
L5859,856,L58598561
L5861,857,L58618571
L5863,858,L58638581
L5865,859,L58658591
L5867,860,L58678601
L5869,861,L58698611
L5877,862,L58778621
L5879,863,L58798631
L5881,864,L58818641
L5883,865,L58838651
L5885,866,L58858661
L5887,867,L58878671
L5889,868,L58898681
L5958,869,L59588691
L5960,870,L59608701
L5962,871,L59628711
L5964,872,L59648721
L5966,873,L59668731
L5968,874,L59688741
L5970,875,L59708751
L5972,876,L59728761
L5976,877,L59768771
L5978,878,L59788781
L5980,879,L59808791
L5982,880,L59828801
L5984,881,L59848811
L5986,882,L59868821
L5988,883,L59888831
L5990,884,L59908841
L6156,885,L61568851
L6158,886,L61588861
L6160,887,L61608871
L6162,888,L61628881
L6164,889,L61648891
L6166,890,L61668901
L6168,891,L61688911
L6170,892,L61708921
L6172,893,L61728931
L6177,894,L61778941
L6179,895,L61798951
L6181,896,L61818961
L6183,897,L61838971
L6185,898,L61858981
L6187,899,L61878991
L6189,900,L61899001
L6191,901,L61919011
L6256,902,L62569021
L6258,903,L62589031
L6260,904,L62609041
L6262,905,L62629051
L6264,906,L62649061
L6266,907,L62669071
L6268,908,L62689081
L6270,909,L62709091
L6277,910,L62779101
L6279,911,L62799111
L6281,912,L62819121
L6283,913,L62839131
L6285,914,L62859141
L6287,915,L62879151
L6289,916,L62899161
L6291,917,L62919171
L6357,918,L63579181
L6358,919,L63589191
L6359,920,L63599201
L6360,921,L63609211
L6361,922,L63619221
L6362,923,L63629231
L6363,924,L63639241
L6364,925,L63649251
L6365,926,L63659261
L6366,927,L63669271
L6367,928,L63679281
L6368,929,L63689291
L6369,930,L63699301
L6370,931,L63709311
L6371,932,L63719321
L6372,933,L63729331
L6373,934,L63739341
L6377,935,L63779351
L6378,936,L63789361
L6379,937,L63799371
L6380,938,L63809381
L6381,939,L63819391
L6382,940,L63829401
L6383,941,L63839411
L6384,942,L63849421
L6385,943,L63859431
L6386,944,L63869441
L6387,945,L63879451
L6388,946,L63889461
L6389,947,L63899471
L6390,948,L63909481
L6391,949,L63919491
TGV9810,950,TGV98109501
TGV9812,951,TGV98129511
TGV9828,952,TGV98289521
TGV9836,953,TGV98369531
TGV9846,954,TGV98469541
TGV9853,955,TGV98539551
TGV9855,956,TGV98559561
TGV9867,957,TGV98679571
TGV9869,958,TGV98699581
IC607,959,IC6079591
IC626,960,IC6269601
IC627,961,IC6279611
IC1543,962,IC15439621
IC1705,963,IC17059631
IC1706,964,IC17069641
IC1708,965,IC17089651
IC1709,966,IC17099661
IC1710,967,IC17109671
IC1713,968,IC17139681
IC1718,969,IC17189691
IC1903,970,IC19039701
IC1944,971,IC19449711
IC2028,972,IC20289721
IC2029,973,IC20299731
IC2030,974,IC20309741
IC2031,975,IC20319751
IC2033,976,IC20339761
IC2034,977,IC20349771
IC2035,978,IC20359781
IC2036,979,IC20369791
IC2037,980,IC20379801
IC2038,981,IC20389811
IC2039,982,IC20399821
IC2040,983,IC20409831
IC2041,984,IC20419841
IC2104,985,IC21049851
IC2303,986,IC23039861
IC2342,987,IC23429871
IC2344,988,IC23449881
IC2345,989,IC23459891
IC2405,990,IC24059901
IC2443,991,IC24439911
IC2505,992,IC25059921
IC3105,993,IC31059931
IC3106,994,IC31069941
IC3107,995,IC31079951
IC3109,996,IC31099961
IC3110,997,IC31109971
IC3111,998,IC31119981
IC3112,999,IC31129991
IC3113,1000,IC311310001
IC3114,1001,IC311410011
IC3115,1002,IC311510021
IC3116,1003,IC311610031
IC3117,1004,IC311710041
IC3119,1005,IC311910051
IC3127,1006,IC312710061
IC3128,1007,IC312810071
IC3129,1008,IC312910081
IC3130,1009,IC313010091
IC3132,1010,IC313210101
IC3133,1011,IC313310111
IC3134,1012,IC313410121
IC3135,1013,IC313510131
IC3136,1014,IC313610141
IC3137,1015,IC313710151
